Sensor_ID,Metered_Zone,CAT01,CAT02,CAT08,CAT10,CAT09,CAT05,CAT06,CAT07,CAT11
F20_E_184,UFFICI,N,N,Y,N,N,N,N,N,N
F20_E_185,UFFICI,N,N,Y,N,N,N,N,N,N
F20_E_186,UFFICI,N,N,Y,N,N,N,N,N,N
F20_E_188,UFFICI,Y,Y,N,N,N,N,N,N,N
F21_E_189,UFFICI,N,N,Y,N,N,N,N,N,N
F21_E_190,UFFICI,N,N,Y,N,N,N,N,N,N
F21_E_191,UFFICI,N,N,Y,N,N,N,N,N,N
F21_E_193,UFFICI,Y,Y,N,N,N,N,N,N,N
F22_E_194,UFFICI,N,N,Y,N,N,N,N,N,N
F22_E_195,UFFICI,N,N,Y,N,N,N,N,N,N
F22_E_196,UFFICI,N,N,Y,N,N,N,N,N,N
F22_E_198,UFFICI,Y,Y,N,N,N,N,N,N,N
F23_E_199,UFFICI,N,N,Y,N,N,N,N,N,N
F23_E_200,UFFICI,N,N,Y,N,N,N,N,N,N
F23_E_201,UFFICI,N,N,Y,N,N,N,N,N,N
F23_E_203,UFFICI,Y,Y,N,N,N,N,N,N,N
F23_E_266,UFFICI,N,N,Y,N,N,N,N,N,N
F24_E_204,UFFICI,N,N,Y,N,N,N,N,N,N
F24_E_205,UFFICI,N,N,Y,N,N,N,N,N,N
F24_E_206,UFFICI,N,N,Y,N,N,N,N,N,N
F24_E_208,UFFICI,Y,Y,N,N,N,N,N,N,N
F25_E_209,UFFICI,N,N,Y,N,N,N,N,N,N
F25_E_210,UFFICI,N,N,Y,N,N,N,N,N,N
F25_E_211,UFFICI,N,N,Y,N,N,N,N,N,N
F25_E_213,UFFICI,Y,Y,N,N,N,N,N,N,N
F25_E_256,CUBO +25/26/27,N,N,N,N,Y,N,N,N,N
F25_E_257,CUBO +25/26/27,N,N,N,N,Y,N,N,N,N
F26_E_214,UFFICI,N,N,Y,N,N,N,N,N,N
F26_E_215,UFFICI,N,N,Y,N,N,N,N,N,N
F26_E_216,UFFICI,N,N,Y,N,N,N,N,N,N
F26_E_218,UFFICI,Y,Y,N,N,N,N,N,N,N
F26_E_258,CUBO +25/26/27,N,N,N,N,Y,N,N,N,N
F26_E_260,CUBO +25/26/27,N,N,Y,N,N,N,N,N,N
F26_E_261,CUBO +25/26/27,N,N,N,N,Y,N,N,N,N
F27_E_219,UFFICI,N,N,Y,N,N,N,N,N,N
F27_E_220,UFFICI,N,N,Y,N,N,N,N,N,N
F27_E_221,UFFICI,N,N,Y,N,N,N,N,N,N
F28_E_223,UFFICI,Y,Y,N,N,N,N,N,N,N
F28_E_224,UFFICI,N,N,Y,N,N,N,N,N,N
F28_E_225,UFFICI,N,N,Y,N,N,N,N,N,N
F28_E_263,CUBO +25/26/27,N,N,Y,N,N,N,N,N,N
F28_E_264,CUBO +25/26/27,N,N,N,N,Y,N,N,N,N
S01_E_001,POSTEGGI,N,N,N,N,Y,N,N,N,N
S01_E_002,POSTEGGI,N,N,N,N,Y,N,N,N,N
S01_E_003,POSTEGGI,N,N,N,N,Y,N,N,N,N
S01_E_004,POSTEGGI,N,N,N,N,Y,N,N,N,N
S01_E_018,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_019,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_020,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_023,SALA CORSI,N,N,Y,N,N,N,N,N,N
S01_E_024,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_025,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_026,SALA CORSI,N,N,Y,N,N,N,N,N,N
S01_E_027,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_028,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_041,SALA UPS,N,N,Y,N,N,N,N,N,N
S01_E_042,UFFICI,Y,Y,N,N,N,N,N,N,N
S01_E_045,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_046,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_047,UFFICI,N,N,Y,N,N,N,N,N,N
S01_E_048,SALA UPS,N,N,Y,N,N,N,N,N,N
S01_E_049,SALA UPS,Y,N,N,N,N,N,N,N,N
S01_E_050,SALA UPS,Y,N,N,N,N,N,N,N,N
S01_E_051,SALA UPS,N,N,Y,N,N,N,N,N,N
S01_E_052,SALA UPS,N,N,Y,N,N,N,N,N,N
S01_E_053,GENERALE ELETTRICO,Y,N,N,N,N,N,N,N,N
S01_E_054,GENERALE ELETTRICO,Y,N,N,N,N,N,N,N,N
S01_E_055,GENERALE ELETTRICO,Y,N,N,N,N,N,N,N,N
S01_E_056,SALA UPS,N,N,Y,N,N,N,N,N,N
S01_E_057,ESTERNO,N,N,Y,N,N,N,N,N,N
S01_E_058,SALA UPS,Y,N,N,N,N,N,N,N,N
S01_E_059,UFFICI,N,N,N,N,N,N,N,N,Y
S01_E_060,UFFICI,N,N,N,N,N,N,N,N,Y
S01_E_061,UFFICI,N,N,N,N,N,N,N,N,Y
S01_E_062,UFFICI,N,N,N,N,N,N,N,N,Y
S01_E_063,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_064,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_065,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_066,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_067,UFFICI,N,N,N,N,N,N,N,Y,N
S01_E_068,UFFICI,N,N,N,N,N,N,N,Y,N
S02_E_005,POSTEGGI,N,N,N,N,Y,N,N,N,N
S02_E_006,POSTEGGI,N,N,N,N,Y,N,N,N,N
S02_E_007*,POSTEGGI,N,N,N,N,Y,N,N,N,N
S02_E_008,POSTEGGI,N,N,N,N,Y,N,N,N,N
S02_E_009,POSTEGGI,N,N,N,N,Y,N,N,N,N
S02_E_010,UFFICI,N,N,Y,N,N,N,N,N,N
S02_E_011,UFFICI,N,N,Y,N,N,N,N,N,N
S02_E_012,UFFICI,N,N,Y,N,N,N,N,N,N
S02_E_015,ESTERNO,N,N,Y,N,N,N,N,N,N
S02_E_016,ESTERNO,N,N,Y,N,N,N,N,N,N
S02_E_246,CED,N,N,Y,N,N,N,N,N,N
S02_E_247,CED,Y,N,N,N,N,N,N,N,N
S02_E_248,CED,N,N,Y,N,Y,N,N,N,N
S02_E_249,CED,N,N,Y,N,N,N,N,N,N
S02_E_250,CED,Y,N,Y,N,N,N,N,N,N
S02_E_251,CED,N,N,Y,N,Y,N,N,N,N
S02_E_252,CED,N,N,Y,Y,N,N,N,N,N
S02_E_253,CED,N,N,Y,Y,N,N,N,N,N
S02_E_254,CED,N,N,Y,Y,N,N,N,N,N
S02_E_255,CED,N,N,Y,Y,N,N,N,N,N
S03_E_029,UFFICI,N,N,Y,N,N,N,N,N,N
S03_E_030,UFFICI,N,N,Y,N,N,N,N,N,N
S03_E_032,UFFICI,N,N,N,N,N,N,N,N,Y
S03_E_033,UFFICI,N,N,Y,N,N,N,N,N,N
S03_E_034,UFFICI,N,N,Y,N,N,N,N,N,Y
S03_E_035,UFFICI,Y,Y,N,N,N,N,N,N,N
